district,party,base_vote_pct
Merkez,AKP,27.73
Merkez,CHP,41.35
Merkez,IYI,15.78
Merkez,DEM,1.99
Merkez,MHP,5.31
Merkez,YRP,0.78
Merkez,TIP,1.60
Merkez,ZAFER,1.81
Merkez,BBP,0.85
Kofcaz,AKP,29.26
Kofcaz,CHP,41.71
Kofcaz,IYI,13.02
Kofcaz,DEM,1.35
Kofcaz,MHP,9.85
Kofcaz,YRP,0.52
Kofcaz,TIP,0.58
Kofcaz,ZAFER,0.92
Kofcaz,BBP,0.86
Babaeski,AKP,20.15
Babaeski,CHP,53.44
Babaeski,IYI,15.61
Babaeski,DEM,1.13
Babaeski,MHP,3.31
Babaeski,YRP,0.47
Babaeski,TIP,1.27
Babaeski,ZAFER,1.25
Babaeski,BBP,0.53
Pehlivankoy,AKP,23.32
Pehlivankoy,CHP,47.28
Pehlivankoy,IYI,19.21
Pehlivankoy,DEM,0.42
Pehlivankoy,MHP,3.84
Pehlivankoy,YRP,0.53
Pehlivankoy,TIP,1.22
Pehlivankoy,ZAFER,0.80
Pehlivankoy,BBP,0.34
Demirkoy,AKP,32.49
Demirkoy,CHP,33.66
Demirkoy,IYI,9.86
Demirkoy,DEM,2.45
Demirkoy,MHP,14.78
Demirkoy,YRP,0.72
Demirkoy,TIP,1.08
Demirkoy,ZAFER,1.48
Demirkoy,BBP,0.35
Pinarhisar,AKP,25.83
Pinarhisar,CHP,43.75
Pinarhisar,IYI,15.11
Pinarhisar,DEM,0.89
Pinarhisar,MHP,7.74
Pinarhisar,YRP,0.62
Pinarhisar,TIP,1.61
Pinarhisar,ZAFER,1.16
Pinarhisar,BBP,0.39
Luleburgaz,AKP,23.19
Luleburgaz,CHP,48.47
Luleburgaz,IYI,15.64
Luleburgaz,DEM,2.01
Luleburgaz,MHP,3.48
Luleburgaz,YRP,0.63
Luleburgaz,TIP,2.28
Luleburgaz,ZAFER,1.55
Luleburgaz,BBP,0.33
Vize,AKP,25.65
Vize,CHP,44.38
Vize,IYI,16.84
Vize,DEM,0.64
Vize,MHP,5.60
Vize,YRP,0.74
Vize,TIP,0.80
Vize,ZAFER,1.80
Vize,BBP,0.29
