district,party,base_vote_pct
Aglasun,AKP,55.7
Aglasun,CHP,20.2
Aglasun,IYI,8.5
Aglasun,DEM,0.0
Aglasun,MHP,10.8
Aglasun,YRP,0.8
Aglasun,TIP,0.0
Aglasun,ZAFER,0.8
Aglasun,BBP,0.5
Altinyayla,AKP,45.8
Altinyayla,CHP,12.1
Altinyayla,IYI,10.5
Altinyayla,DEM,0.1
Altinyayla,MHP,24.5
Altinyayla,YRP,1.2
Altinyayla,TIP,0.0
Altinyayla,ZAFER,1.6
Altinyayla,BBP,0.4
Bucak,AKP,43.6
Bucak,CHP,31.4
Bucak,IYI,7.9
Bucak,DEM,0.5
Bucak,MHP,11.0
Bucak,YRP,1.6
Bucak,TIP,0.0
Bucak,ZAFER,1.2
Bucak,BBP,0.6
Cavdir,AKP,28.6
Cavdir,CHP,27.4
Cavdir,IYI,16.7
Cavdir,DEM,0.2
Cavdir,MHP,21.4
Cavdir,YRP,0.9
Cavdir,TIP,0.0
Cavdir,ZAFER,1.1
Cavdir,BBP,0.7
Celtikci,AKP,48.0
Celtikci,CHP,23.8
Celtikci,IYI,8.8
Celtikci,DEM,0.1
Celtikci,MHP,12.3
Celtikci,YRP,1.1
Celtikci,TIP,0.0
Celtikci,ZAFER,0.8
Celtikci,BBP,1.8
Golhisar,AKP,32.6
Golhisar,CHP,17.9
Golhisar,IYI,9.7
Golhisar,DEM,0.4
Golhisar,MHP,34.1
Golhisar,YRP,0.9
Golhisar,TIP,0.0
Golhisar,ZAFER,1.2
Golhisar,BBP,0.5
Karamanli,AKP,32.7
Karamanli,CHP,38.8
Karamanli,IYI,10.5
Karamanli,DEM,1.5
Karamanli,MHP,10.1
Karamanli,YRP,1.5
Karamanli,TIP,0.0
Karamanli,ZAFER,1.8
Karamanli,BBP,0.5
Kemer,AKP,47.8
Kemer,CHP,20.6
Kemer,IYI,7.7
Kemer,DEM,0.2
Kemer,MHP,17.4
Kemer,YRP,1.4
Kemer,TIP,0.0
Kemer,ZAFER,1.4
Kemer,BBP,1.1
Merkez,AKP,33.0
Merkez,CHP,35.4
Merkez,IYI,13.9
Merkez,DEM,0.9
Merkez,MHP,10.5
Merkez,YRP,1.2
Merkez,TIP,0.0
Merkez,ZAFER,1.8
Merkez,BBP,0.8
Tefenni,AKP,25.2
Tefenni,CHP,24.3
Tefenni,IYI,17.4
Tefenni,DEM,0.3
Tefenni,MHP,25.8
Tefenni,YRP,0.8
Tefenni,TIP,0.0
Tefenni,ZAFER,1.7
Tefenni,BBP,1.0
Yesilova,AKP,29.4
Yesilova,CHP,42.4
Yesilova,IYI,11.0
Yesilova,DEM,0.3
Yesilova,MHP,10.8
Yesilova,YRP,0.8
Yesilova,TIP,0.0
Yesilova,ZAFER,1.1
Yesilova,BBP,0.5
