district,party,base_vote_pct
Merkez,AKP,37.53
Merkez,CHP,47.18
Merkez,IYI,5.33
Merkez,DEM,1.74
Merkez,MHP,0
Merkez,YRP,3.56
Merkez,TIP,0
Merkez,ZAFER,2.34
Merkez,BBP,0
Merkez,SAADET,1.22
Akcakent,AKP,48.99
Akcakent,CHP,2.15
Akcakent,IYI,0
Akcakent,DEM,0
Akcakent,MHP,40.06
Akcakent,YRP,1.07
Akcakent,TIP,0
Akcakent,ZAFER,5.23
Akcakent,BBP,0
Akcakent,SAADET,2.00
Akpinar,AKP,38.54
Akpinar,CHP,43.66
Akpinar,IYI,0
Akpinar,DEM,0
Akpinar,MHP,16.33
Akpinar,YRP,0.10
Akpinar,TIP,0
Akpinar,ZAFER,
Akpinar,BBP,0
Akpinar,SAADET,0.80
Boztepe,AKP,31.22
Boztepe,CHP,30.61
Boztepe,IYI,7.31
Boztepe,DEM,
Boztepe,MHP,29.54
Boztepe,YRP,0.74
Boztepe,TIP,
Boztepe,ZAFER,
Boztepe,BBP,
Boztepe,SAADET,0.27
Cicekdagi,AKP,44.75
Cicekdagi,CHP,7.01
Cicekdagi,IYI,1.67
Cicekdagi,DEM,0
Cicekdagi,MHP,44.41
Cicekdagi,YRP,2.27
Cicekdagi,TIP,0
Cicekdagi,ZAFER,0
Cicekdagi,BBP,0
Cicekdagi,SAADET,0.50
Kaman,AKP,51.00
Kaman,CHP,43.28
Kaman,IYI,2.55
Kaman,DEM,0
Kaman,MHP,0
Kaman,YRP,1.31
Kaman,TIP,0
Kaman,ZAFER,0
Kaman,BBP,0
Kaman,SAADET,0.51
Mucur,AKP,10.71
Mucur,CHP,16.95
Mucur,IYI,15.65
Mucur,DEM,0
Mucur,MHP,26.99
Mucur,YRP,3.60
Mucur,TIP,0
Mucur,ZAFER,0
Mucur,BBP,24.73
Mucur,SAADET,0.36
