district,party,base_vote_pct
Altindag,AKP,44.99
Altindag,CHP,37.74
Altindag,IYI,1.70
Altindag,DEM,1.18
Altindag,MHP,0
Altindag,YRP,6.65
Altindag,TIP,0.25
Altindag,ZAFER,3.60
Altindag,BBP,0.76
Altindag,SAADET,1.00
Ayas,AKP,32.56
Ayas,CHP,42.00
Ayas,IYI,4.4
Ayas,DEM,0
Ayas,MHP,0
Ayas,YRP,3.41
Ayas,TIP,0.07
Ayas,ZAFER,0.78
Ayas,BBP,12.87
Ayas,SAADET,1.55
Kalecik,AKP,37.94
Kalecik,CHP,49.17
Kalecik,IYI,6.86
Kalecik,DEM,0
Kalecik,MHP,0
Kalecik,YRP,2.21
Kalecik,TIP,0.08
Kalecik,ZAFER,1.20
Kalecik,BBP,0.40
Kalecik,SAADET,0.41
Kizilcahamam,AKP,46.07
Kizilcahamam,CHP,39.03
Kizilcahamam,IYI,2.42
Kizilcahamam,DEM,0
Kizilcahamam,MHP,0
Kizilcahamam,YRP,5.58
Kizilcahamam,TIP,0.04
Kizilcahamam,ZAFER,1.00
Kizilcahamam,BBP,3.56
Kizilcahamam,SAADET,0.98
Kecioren,AKP,37.95
Kecioren,CHP,45.48
Kecioren,IYI,2.36
Kecioren,DEM,0.98
Kecioren,MHP,0
Kecioren,YRP,4.95
Kecioren,TIP,0.17
Kecioren,ZAFER,3.90
Kecioren,BBP,0.93
Kecioren,SAADET,0.69
Kahramankazan,AKP,43.59
Kahramankazan,CHP,45.64
Kahramankazan,IYI,2.82
Kahramankazan,DEM,0
Kahramankazan,MHP,0
Kahramankazan,YRP,4.20
Kahramankazan,TIP,0.06
Kahramankazan,ZAFER,0
Kahramankazan,BBP,0.46
Kahramankazan,SAADET,0.49
Akyurt,AKP,48.23
Akyurt,CHP,23.65
Akyurt,IYI,1.83
Akyurt,DEM,0
Akyurt,MHP,0
Akyurt,YRP,17.73
Akyurt,TIP,0.07
Akyurt,ZAFER,1.83
Akyurt,BBP,4.1
